DevOps #,Title,Description,Tshirt Size,ICF Priority ,Marketing Priority,Column1,KEY - T-shirt Sizes,,
,Clickable Banner in Homepage Carousel w/out CTA Button,Allow HP carousel banners to be be clickable to URLs without needing CTA button,,,12,check Work Auth #1 for requirements/acceptance criteria ,"Small, BED (20 hours), no FED. Review with Tim and Lisa",YES,
,Optimizing Where To Play Filters on PWS/Mobile App,Add additional data filters in the Where To Play functionality and sync filtering UX for both PWS and Mobile App ,,,13,check Work Auth #1 for requirements/acceptance criteria ,"UX, FED heavy, BED light",MAYBE,
,Visual Website Navigation,Continue Discovery & UX/UI,,,14,check Work Auth #1 for requirements/acceptance criteria ,part of UX Audit,,
US 10485,Scratchers Quiz,"Current flow allows users to not answer any questions and still get a result. ""Unicorn"" is the default result and the page is indexed. Update UX to not skip answers and address indexing.",S/M,11,15,check Work Auth #1 for requirements/acceptance criteria ,"UX, FED heavy, BED likely none",MAYBE,
Epic 10771,2nd Chance Phase 2,Deprioritized .last PI- documenting as carryover once requirements confirmed ,M,Continued from Previous PI,,,,,
Epic 10260,SItecore 10.4 Upgrade,"Phase 2 - enhancements, feature enablement and optimization where necessary, minor audit findings.",L,Continued from Previous PI,,,,,
,UX/ UI Audit,"Improve user flows through design and information architecture refinement to reduce pain points and enable users to identify and complete objectives faster—less mistakes/confusion/abandonment.
Improve the overall “look and feel” to create a more consistent visual language that prioritizes modern aesthetics (more images and micro-interactions, less “walls of text” and link-driven pathways).
Prioritize prominent CTAs for quick recognition to drive completion of user and business objectives.
Reduce design debt site-wide to improve the overall user experience and design consistency and efficiency.",L/ XL,9,,,,,
Epic 4477,2nd Chance Phase 2.0.1 (Phase 1 Low Priorities),"Transactional Email: KYC status changes (11365)
Registration and Edit My Profile pages: Split the phone into 2 fields (11167)
Edit My Profile pages: Way to restore original email CASB-71205 (11281)
Do not allow disposable email for Registration and Edit My Profile (11579)
Page: 2nd Chance Draws and Winners - My Submissions link (11476)",S/M,1,,,,,
,Blue Green Deployment,"is a release strategy that uses two identical environments—one live (Blue) and one idle (Green). New updates are deployed to the idle environment, where they’re validated without impacting users. Once testing is complete, traffic is seamlessly switched to the updated environment, minimizing downtime and enabling quick rollback if needed.",XL,2,,,,,
,Modernizing deployments ,Modernize deployments by doing a discovery on best approach to do content sync from the pipeline before UAT starts to ensure we are UAT with the latest content from PROD. This would also include functions/triggers to have nightly deployments to QA environments to improve efficiency by not having to wait 1-3hrs during the day and not impact any CSL testing during the day,M,3,,,,,
Epic 11323,WinWatcher re-write to pull from API for game data and discontinue file drops for game data,"WinWatcher was built pre 2020 and has a lot of bad/unused code and does not utilize cache. The goal here would be to re-write the WW code to be able to handle errors better, not cause as many DB cleanup task, and to utilize Redis cache once a file is processed correctly, which would improve performance on PWS for features that rely on WW data",L/ XL,4,,,ICF to pause on this until API development is done for all draw games. Review status with Amrit on the Daily 3. Assuming that PI 18 will review Daily 3 which will inform the rest of this WW project,,
,Next Gen Image Formats ," Converting assets to utilize SPGs, a more modern and better resolution",S- M,5,,,Dependency on Marketing to communicate update formats,NO,
,"Schema / Rich Results 
",Add JSON (provided by Marketing in a document) to various pages/templates per the instructions in the document. These are SEO-related enhancements.,M,7,,,BED (30-40 hours). Assumptions: Content already exists. Possible create new fields. Must,YES. No QA,
,Caching layer modernization,"Move away from in memory caching and utilize Redis to have an easier way to share cached data between different applications, like WW, Retailer Service, and PWS. This work also includes revisiting the timing of the draw games cache to be more inline when files drop vs every 1-2 minutes, as well as getting the new cache enhancements to prod that done late last year. This project would increase performance and reduce db utilization, which would in turn reduce the need to scale up the db as frequently as we do now.",XL,8,,,,,
,Security Modernization,"Improve secure coding standards, reducing both security and coding technical debt while enhancing developer efficiency and confidence.
By embedding secure-by-design principles, standardized code review practices, and automated vulnerability detection into our development lifecycle, we not only protect our products and clients — we also empower developers with cleaner, more maintainable code.
Improving security at the coding level helps developers by reducing rework, simplifying future integrations, and providing clearer guardrails for safe innovation. This approach strengthens client trust, accelerates delivery timelines, and establishes a foundation that allows us to innovate securely and sustainably.",XXL/ XL,10,,,,,
,Modernizing Load Testing Software,"Currently the load testing is a manual process that requires heavy configurations that relies on a java framework called JMeter. While we still may convert the new load testing framework to JMeter or another Azure Load Testing framework called Locust, we would like to move to a more modern approach to use a JavaScript framework, something like K6 or Artillery. We would be integrating this directly into the CI/CD pipeline to run on each deployment, ensuring site performance is being closely tracked with each release. With a new JS framework, this would allow QA to own load testing updates during their test case creation.

k6 is lightweight, CLI-driven, and emphasizes developer-friendly workflows, making it comparable to JMeter for load and performance testing without the overhead of a full GUI.",M,11,,,,,
,Infrastructure Security Maintenance and Ops ,"Mature foundational security practices across our products and platforms — reducing technical security debt, strengthening client trust, and enabling future innovation.By standardizing secure design principles, embedding risk-informed controls, and addressing legacy vulnerabilities, we can build a resilient foundation that not only meets compliance expectations but also positions security as a business enabler. This transformation will allow us to deliver with confidence, accelerate new feature adoption, and open doors for innovation in a secure and scalable way.",L,12,,,,,
